File,Mesh Number,Description (from SCURK if applicable),Size,SimCity 2000 XBLD value,Comments
sim3d1,1,Police Dept,3,210,
sim3d1,2,Ground (green centre),1,N/A,
sim3d1,3,Ground (green centre),2,N/A,
sim3d1,4,Ground (light green centre),3,N/A,
sim3d1,5,Ground (water?),4,N/A,
sim3d1,6,Abandoned Building 1,1,138,Doesn't look abandoned.
sim3d1,7,Abandoned Building 2,1,139,Doesn't look abandoned.
sim3d1,8,Abandoned Building 3,2,170,"Looks grimy, but not abandoned."
sim3d1,9,Abandoned Building 4,2,171,Doesn't look abandoned.
sim3d1,10,Abandoned Building 5,2,172,Doesn't look abandoned.
sim3d1,11,Abandoned Building 6,2,173,Doesn't look abandoned.
sim3d1,12,Runway Vertical,1,221,
sim3d1,13,Runway Horizontal,1,221,
sim3d1,14,Runway Intersection,1,222,
sim3d1,15,Pier Vertical,1,,
sim3d1,16,Pier Horizontal,1,,
sim3d1,17,Crane,1,224,"Seaport building, not construction."
sim3d1,18,Civilian Control Tower,1,225,
sim3d1,19,Military Control Tower,1,226,
sim3d1,20,Warehouse,1,227,Seaport/airport.
sim3d1,21,Building 1,1,228,Airport.
sim3d1,22,Building 2,1,229,Airport.
sim3d1,23,Tarmac (plane),1,230,
sim3d1,24,F-15b,1,231,
sim3d1,25,Hangar 1,1,232,
sim3d1,26,Hangar 2,2,246,
sim3d1,27,Plymouth Arcology,4,251,
sim3d1,28,Launch Arcology,4,254,
sim3d1,29,Braun Llama Dome,4,255,
sim3d1,30,Construction 7,1,136,
sim3d1,31,Construction 8,1,137,
sim3d1,32,Construction 5,2,168,
sim3d1,33,Medium Office Building 1,2,150,
sim3d1,34,Resort Hotel,2,151,
sim3d1,35,Drive In,3,182,
sim3d1,36,Office Tower 2,3,183,
sim3d1,37,Office Tower 3,3,184,
sim3d1,38,Corporate Headquarters,3,187,
sim3d1,39,Large Apartments 2,3,175,
sim3d1,40,Large Condominiums 2,3,177,
sim3d1,41,City Hall,3,208,
sim3d1,42,Medium Office Building 2,2,152,
sim3d1,43,Medium Office Building 3,2,154,
sim3d1,44,Medium Office Building 4,2,155,
sim3d1,45,Medium Office Building 5,2,156,
sim3d1,46,Medium Office Building 6,2,157,
sim3d1,47,Office Park,3,178,
sim3d1,48,Church,2,247,
sim3d1,49,Desalinization Plant,3,250,
sim3d1,50,Hospital,3,209,
sim3d1,51,Library,2,245,
sim3d1,52,Museum,3,212,Looks more like a prison!
sim3d1,53,Small Apartments 2,2,141,
sim3d1,54,Small Apartments 3,2,142,
sim3d1,55,School,3,214,
sim3d1,56,Water Tower,2,235,
sim3d1,57,Medium Condominiums 1,2,145,
sim3d1,58,Shopping Centre,2,148,
sim3d1,59,Stadium,4,215,
sim3d1,60,Road with sidewalk Left -> Right,1,29,
sim3d1,61,Road with sidewalk Top -> Bottom,1,30,
sim3d1,62,Road with sidewalk High Top -> Bottom,1,31,
sim3d1,63,Road with sidewalk Left -> High Right,1,32,
sim3d1,64,Road with sidewalk Top -> High Bottom,1,33,
sim3d1,65,Road with sidewalk High Left -> Right,1,34,
sim3d1,66,Road with sidewalk Bottom -> Right,1,35,
sim3d1,67,Road with sidewalk Bottom -> Left,1,36,
sim3d1,68,Road with sidewalk Top -> Left,1,37,
sim3d1,69,Road with sidewalk Top -> Right,1,38,
sim3d1,70,Road with sidewalk Right -> Top -> Bottom,1,39,
sim3d1,71,Road with sidewalk Left -> Bottom -> Right,1,40,
sim3d1,72,Road with sidewalk Top -> Left -> Bottom,1,41,
sim3d1,73,Road with sidewalk Left -> Top -> Right,1,42,
sim3d1,74,Road with sidewalk Left -> Top -> Bottom -> Right,1,43,
sim3d1,75,Road,1,,
sim3d1,76,Road,1,,
sim3d1,77,Road,1,,
sim3d1,78,Road,1,,
sim3d1,79,Road,1,,
sim3d1,80,Road,1,,
sim3d1,81,Road,1,,
sim3d1,82,Road,1,,
sim3d1,83,Road,1,,
sim3d1,84,Road,1,,
sim3d1,85,Road,1,,
sim3d1,86,Reinforced Highway Bridge,2,,
sim3d1,87,Reinforced Highway Bridge,2,,
sim3d1,88,Road Left -> Right + Power Top -> Bottom,1,67,
sim3d1,89,Road Top -> Bottom + Power Left -> Right,1,68,
sim3d1,90,Power Line Left -> Right,1,14,same as sim3d2 / 40 but without suspension?
sim3d1,91,Power Line Top -> Bottom,1,15,same as sim3d2 / 41 but without suspension?
sim3d1,92,Power Line High Top -> Bottom,1,16,same as sim3d2 / 43 but without suspension?
sim3d1,93,Power Line Left -> High Right,1,17,same as sim3d2 / 44 but without suspension?
sim3d1,94,Power Line Top -> High Bottom,1,18,same as sim3d2 / 45 but without suspension?
sim3d1,95,Power Line High Left -> Right,1,19,same as sim3d2 / 46 but without suspension?
sim3d1,96,Power Line Bottom -> Right,1,20,same as sim3d2 / 47 but without suspension?
sim3d1,97,Power Line Bottom -> Left,1,21,same as sim3d2 / 48 but without suspension?
sim3d1,98,Power Line Top -> Left,1,22,same as sim3d2 / 49 but without suspension?
sim3d1,99,Power Line Top -> Right,1,23,same as sim3d2 / 50 but without suspension?
sim3d1,100,Power Line Right -> Top -> Bottom,1,24,same as sim3d2 / 51 but without suspension?
sim3d1,101,Power Line Left -> Bottom -> Right,1,25,same as sim3d2 / 52 but without suspension?
sim3d1,102,Power Line Top -> Left -> Bottom,1,26,same as sim3d2 / 53 but without suspension?
sim3d1,103,Power Line Left -> Top -> Right,1,27,same as sim3d2 / 54 but without suspension?
sim3d1,104,Power Line Left -> Top -> Bottom -> Right,1,28,same as sim3d2 / 55 but without suspension?
sim3d1,105,Ground (grey centre),1,,
sim3d1,106,Ground (beige pattern),2,,
sim3d1,107,Ground (water?),3,,
sim3d1,108,Ground (dark beige centre),4,,
sim3d1,109,Ground (beige centre),1,,
sim3d1,110,Ground (orange grid),2,,
sim3d1,111,Ground (orange grid),3,,
sim3d1,112,Ground (dark beige centre),4,,Same as 108?
sim3d1,113,Explorer (helicopter),N/A,N/A,
sim3d1,114,520 Notar (helicopter),N/A,N/A,
sim3d1,115,Rotor (five blades),N/A,N/A,
sim3d1,116,"Rotor (five blades, smaller diameter)",N/A,N/A,
sim3d1,117,Helicopter shadow,N/A,N/A,
sim3d1,118,Helicopter shadow,N/A,N/A,
sim3d1,119,Rotor shadow (five blades),N/A,N/A,
sim3d1,120,"Rotor shadow (five blades, smaller diameter)",N/A,N/A,
sim3d1,121,Tunnel segment,1,,
sim3d1,122,Tunnel segment,1,,
sim3d1,123,Tunnel segment,1,,
sim3d1,124,Tunnel segment,1,,
sim3d1,125,Rail/wire crossing,1,,
sim3d1,126,Rail/wire crossing,1,,
sim3d1,127,Road with sidewalk Left -> Right + Power Top -> Bottom,1,67,
sim3d1,128,Road with sidewalk Top -> Bottom + Power Left -> Right,1,68,
sim3d1,129,Street light,N/A,N/A,
sim3d1,130,Street light,N/A,N/A,
sim3d1,131,Street light,N/A,N/A,
sim3d1,132,Street light,N/A,N/A,
sim3d1,133,Traffic light,N/A,N/A,
sim3d1,134,Trash can,N/A,N/A,
sim3d1,135,Trash can,N/A,N/A,
sim3d1,136,Phone booth,N/A,N/A,
sim3d1,137,Phone booth,N/A,N/A,
sim3d1,138,Fire hydrant,N/A,N/A,
sim3d1,139,Fire hydrant,N/A,N/A,
sim3d1,140,Mailbox,N/A,N/A,
sim3d1,141,Mailbox,N/A,N/A,
sim3d1,142,Tunnel entrance,1,,
sim3d1,143,Tunnel entrance,1,,
sim3d2,1,Small Warehouse 1,1,132,
sim3d2,2,Industrial Substation,1,135,
sim3d2,3,Medium Warehouse,2,158,
sim3d2,4,Chemical Processing 2,2,159,
sim3d2,5,Small Factory 1,2,160,
sim3d2,6,Small Factory 2,2,161,
sim3d2,7,Small Factory 3,2,162,
sim3d2,8,Small Factory 4,2,163,
sim3d2,9,Small Factory 5,2,164,
sim3d2,10,Rail,1,,
sim3d2,11,Rail,1,,
sim3d2,12,Rail,1,,
sim3d2,13,Rail,1,,
sim3d2,14,Rail,1,,
sim3d2,15,Rail,1,,
sim3d2,16,Rail,1,,
sim3d2,17,Rail,1,,
sim3d2,18,Rail,1,,
sim3d2,19,Rail,1,,
sim3d2,20,Rail,1,,
sim3d2,21,Rail,1,,
sim3d2,22,Rail,1,,
sim3d2,23,Rail,1,,
sim3d2,24,Rail,1,,
sim3d2,25,Rail no ties,1,,
sim3d2,26,Rail no ties,1,,
sim3d2,27,Rail no ties,1,,
sim3d2,28,Rail no ties,1,,
sim3d2,29,Rail no ties,1,,
sim3d2,30,Rail no ties,1,,
sim3d2,31,Rail no ties,1,,
sim3d2,32,Rail no ties,1,,
sim3d2,33,Rail no ties,1,,
sim3d2,34,Rail no ties,1,,
sim3d2,35,Rail no ties,1,,
sim3d2,36,Rail no ties,1,,
sim3d2,37,Rail no ties,1,,
sim3d2,38,Rail no ties,1,,
sim3d2,39,Rail no ties,1,,
sim3d2,40,Power Line Left -> Right,1,14,
sim3d2,41,Power Line Top -> Bottom,1,15,
sim3d2,42,Power Line High Top -> Bottom,1,16,
sim3d2,43,Power Line Left -> High Right,1,17,
sim3d2,44,Power Line Top -> High Bottom,1,18,
sim3d2,45,Power Line High Left -> Right,1,19,
sim3d2,46,Power Line Bottom -> Right,1,20,
sim3d2,47,Power Line Bottom -> Left,1,21,
sim3d2,48,Power Line Top -> Left,1,22,
sim3d2,49,Power Line Top -> Right,1,23,
sim3d2,50,Power Line Right -> Top -> Bottom,1,24,
sim3d2,51,Power Line Left -> Bottom -> Right,1,25,
sim3d2,52,Power Line Top -> Left -> Bottom,1,26,
sim3d2,53,Power Line Left -> Top -> Right,1,27,
sim3d2,54,Power Line Left -> Top -> Bottom -> Right,1,28,
sim3d2,55,Bridge piece Vertical,1,88,
sim3d2,56,Bridge piece Horizontal,1,88,
