file, index, offset, col-1, col-2, col-3, col-4
sim3d1.max, 0, 13633, 8, 234, 188, 0
sim3d1.max, 1, 17376, 63, 65, 45, 0
sim3d1.max, 2, 17621, 127, 130, 90, 0
sim3d1.max, 3, 18109, 189, 195, 135, 0
sim3d1.max, 4, 18986, 252, 4, 181, 0
sim3d1.max, 5, 20698, 174, 161, 40, 0
sim3d1.max, 6, 22072, 155, 49, 42, 0
sim3d1.max, 7, 24208, 66, 222, 88, 0
sim3d1.max, 8, 30956, 22, 180, 64, 0
sim3d1.max, 9, 33958, 81, 155, 95, 0
sim3d1.max, 10, 36206, 212, 82, 114, 0
sim3d1.max, 11, 38373, 81, 67, 45, 0
sim3d1.max, 12, 38962, 81, 67, 45, 0
sim3d1.max, 13, 39551, 213, 66, 45, 0
sim3d1.max, 14, 39968, 248, 51, 47, 0
sim3d1.max, 15, 43232, 248, 51, 47, 0
sim3d1.max, 16, 46496, 40, 132, 39, 0
sim3d1.max, 17, 51548, 111, 196, 85, 0
sim3d1.max, 18, 54303, 50, 199, 115, 0
sim3d1.max, 19, 58049, 39, 249, 40, 0
sim3d1.max, 20, 59329, 127, 241, 42, 0
sim3d1.max, 21, 61618, 210, 126, 48, 0
sim3d1.max, 22, 64057, 53, 176, 20, 0
sim3d1.max, 23, 82948, 24, 178, 44, 0
sim3d1.max, 24, 101867, 73, 233, 59, 0
sim3d1.max, 25, 104356, 206, 16, 76, 0
sim3d1.max, 26, 105562, 15, 164, 201, 0
sim3d1.max, 27, 108453, 132, 244, 70, 1
sim3d1.max, 28, 136416, 232, 164, 37, 1
sim3d1.max, 29, 148685, 91, 29, 44, 0
sim3d1.max, 30, 152709, 41, 26, 46, 0
sim3d1.max, 31, 156563, 184, 72, 81, 0
sim3d1.max, 32, 160202, 234, 142, 79, 0
sim3d1.max, 33, 163198, 18, 69, 73, 0
sim3d1.max, 34, 167899, 229, 8, 120, 0
sim3d1.max, 35, 195343, 208, 154, 50, 1
sim3d1.max, 36, 200306, 105, 89, 228, 0
sim3d1.max, 37, 205421, 78, 188, 166, 0
sim3d1.max, 38, 209144, 76, 117, 197, 0
sim3d1.max, 39, 211769, 188, 233, 162, 0
sim3d1.max, 40, 215476, 118, 184, 135, 0
sim3d1.max, 41, 219600, 213, 3, 102, 0
