vertexCount, flags, isLight, group, face type, tex/color, texFile
4, 3, 0, 160, 15, 160, 0
4, 3, 0, 160, 15, 160, 0
4, 3, 0, 160, 15, 160, 0
4, 3, 0, 160, 15, 160, 0
4, 3, 0, 160, 15, 160, 0
4, 3, 0, 160, 15, 160, 0
4, 3, 0, 160, 15, 160, 0
4, 8194, 0, 7, 18, 42, 2
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 8194, 0, 12, 18, 60, 2
4, 8194, 0, 13, 18, 63, 2
4, 8194, 0, 14, 18, 63, 2
3, 8194, 0, 15, 18, 63, 2
4, 8194, 0, 16, 18, 63, 2
3, 8194, 0, 17, 18, 63, 2
4, 8194, 0, 18, 18, 61, 2
4, 8194, 0, 19, 18, 62, 2
4, 8194, 0, 20, 18, 62, 2
4, 8194, 0, 21, 18, 62, 2
4, 8194, 0, 22, 18, 62, 2
4, 8194, 0, 23, 18, 61, 2
4, 8194, 0, 24, 18, 60, 2
1, 2, 1, 252, 25, 252, 0
1, 2, 1, 246, 25, 246, 0
1, 2, 1, 252, 25, 252, 0
1, 2, 1, 246, 25, 246, 0
1, 2, 1, 252, 25, 252, 0
1, 2, 1, 246, 25, 246, 0
1, 2, 1, 252, 25, 252, 0
1, 2, 1, 246, 25, 246, 0
1, 2, 1, 252, 25, 252, 0
1, 2, 1, 246, 25, 246, 0
1, 2, 1, 252, 25, 252, 0
1, 2, 1, 246, 25, 246, 0
1, 2, 1, 252, 25, 252, 0
1, 2, 1, 246, 25, 246, 0
1, 2, 1, 252, 25, 252, 0
1, 2, 1, 246, 25, 246, 0
1, 2, 1, 252, 25, 252, 0
1, 2, 1, 246, 25, 246, 0
1, 2, 1, 252, 25, 252, 0
1, 2, 1, 246, 25, 246, 0
1, 2, 1, 252, 25, 252, 0
1, 2, 1, 246, 25, 246, 0
1, 2, 1, 252, 25, 252, 0
1, 2, 1, 246, 25, 246, 0
1, 2, 1, 252, 25, 252, 0
1, 2, 1, 246, 25, 246, 0
1, 2, 1, 252, 25, 252, 0
1, 2, 1, 246, 25, 246, 0
1, 2, 1, 252, 25, 252, 0
1, 2, 1, 246, 25, 246, 0
1, 2, 1, 252, 25, 252, 0
1, 2, 1, 246, 25, 246, 0
1, 2, 1, 252, 25, 252, 0
1, 2, 1, 246, 25, 246, 0
1, 2, 1, 252, 25, 252, 0
1, 2, 1, 246, 25, 246, 0
4, 3, 0, 160, 15, 160, 0
4, 8194, 0, 62, 18, 8, 2
4, 8194, 0, 0, 18, 35, 2
4, 8194, 0, 0, 18, 35, 2
4, 8194, 0, 1, 18, 35, 2
4, 8194, 0, 2, 18, 35, 2
4, 8194, 0, 3, 18, 35, 2
4, 8194, 0, 0, 18, 33, 2
4, 8194, 0, 1, 18, 33, 2
4, 8194, 0, 2, 18, 33, 2
4, 8194, 0, 3, 18, 33, 2
4, 8194, 0, 4, 18, 33, 2
4, 8194, 0, 5, 18, 33, 2
4, 8194, 0, 6, 18, 33, 2
4, 8194, 0, 7, 18, 33, 2
4, 8194, 0, 8, 18, 33, 2
4, 8194, 0, 0, 18, 32, 20
4, 8194, 0, 1, 18, 32, 20
4, 8194, 0, 2, 18, 32, 20
4, 8194, 0, 3, 18, 32, 20
4, 8194, 0, 4, 18, 32, 20
4, 8194, 0, 5, 18, 32, 20
4, 8194, 0, 6, 18, 32, 20
4, 8194, 0, 7, 18, 32, 20
4, 8194, 0, 8, 18, 32, 20
4, 8194, 0, 9, 18, 32, 20
4, 8194, 0, 10, 18, 32, 20
4, 8194, 0, 11, 18, 32, 20
4, 8194, 0, 12, 18, 32, 20
4, 8194, 0, 13, 18, 32, 20
4, 8194, 0, 14, 18, 32, 20
4, 8194, 0, 15, 18, 32, 20
4, 8194, 0, 0, 18, 23, 40
4, 8194, 0, 1, 18, 20, 40
4, 8194, 0, 2, 18, 23, 40
4, 8194, 0, 3, 18, 55, 40
4, 8194, 0, 4, 18, 52, 40
4, 8194, 0, 5, 18, 55, 40
4, 8194, 0, 6, 18, 52, 40
4, 8194, 0, 7, 18, 54, 40
4, 8194, 0, 8, 18, 53, 40
4, 8194, 0, 9, 18, 54, 40
4, 8194, 0, 10, 18, 53, 40
4, 3, 0, 128, 15, 128, 0
4, 3, 0, 128, 15, 128, 0
4, 8194, 0, 13, 18, 23, 40
4, 8194, 0, 0, 18, 62, 39
4, 8194, 0, 1, 18, 61, 39
4, 8194, 0, 2, 18, 60, 39
4, 8194, 0, 3, 18, 62, 39
4, 8194, 0, 4, 18, 62, 39
4, 8194, 0, 5, 18, 61, 39
4, 8194, 0, 6, 18, 61, 39
4, 8194, 0, 7, 18, 63, 39
4, 8194, 0, 8, 18, 63, 39
4, 8194, 0, 9, 18, 63, 39
4, 8194, 0, 10, 18, 60, 39
4, 8194, 0, 11, 18, 39, 40
4, 8194, 0, 12, 18, 39, 40
4, 8194, 0, 13, 18, 40, 2
4, 8194, 0, 14, 18, 42, 2
4, 8194, 0, 15, 18, 42, 2
4, 8194, 0, 16, 18, 45, 40
4, 8194, 0, 17, 18, 45, 40
4, 8194, 0, 18, 18, 45, 40
4, 3, 0, 48, 15, 48, 0
5, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 8194, 0, 0, 18, 46, 40
4, 8194, 0, 1, 18, 45, 40
4, 8194, 0, 2, 18, 47, 40
4, 8194, 0, 3, 18, 44, 40
4, 3, 0, 128, 15, 128, 0
4, 3, 0, 128, 15, 128, 0
4, 3, 0, 128, 15, 128, 0
4, 3, 0, 128, 15, 128, 0
4, 3, 0, 128, 15, 128, 0
4, 3, 0, 128, 15, 128, 0
4, 3, 0, 128, 15, 128, 0
4, 3, 0, 128, 15, 128, 0
5, 3, 0, 128, 15, 128, 0
8, 3, 0, 128, 15, 128, 0
5, 3, 0, 128, 15, 128, 0
4, 3, 0, 128, 15, 128, 0
3, 3, 0, 128, 15, 128, 0
